Адрес на 30.08.2021;Широта;Долгота;;;
ул.Васильевская, д.11 по 1-ой Тверской-Ямской ул., к 1-ой Тверской-Ямской ул., г. Москва;55.772815;37.590058;;;
ул.Захарьинские Дворики, д.1, к.1, г. Москва;55.504128;37.57508;;;
ФАД М-9 Балтия, 18км 885м, из центра;55.798291;37.345493;;;
Новорижское ш., 17км 320м, Г-опора, в центр, г. Москва;55.79077;37.366439;;;
Ленинградский просп., д.68, из центра (въезд в Волоколамский тоннель), г. Москва;55.803122;37.522453;;;
ФАД А-101, Москва-Рославль, 36 км 700 м, МГО № 919, Десеновское п-е, г. Москва;55.497491;37.330784;;;
МКАД, 27км 660м, напротив МГО № 243, внутренняя сторона, г. Москва;55.57352;37.680253;;;
Волоколамское ш., в районе д.2, с.3 по ул.Свободы, из центра, г. Москва;55.82044;37.450501;;;
Волоколамское ш., д.10, из центра, г. Москва;55.808557;37.497515;;;
ТТК, внешняя сторона, у д. 2 стр. 5 по Переведеновскому пер., МГО № 005, г. Москва;55.775698;37.682815;;;
ТТК, внешняя сторона, напротив д. 11 стр. 24 по ул. Золоторожский Вал, г. Москва;55.751092;37.696718;;;
Энтузиастов ш., д.47, в центр, г. Москва;55.771084;37.816322;;;
Энтузиастов ш., д.86, с.3, из центра, МГО № 314, г. Москва;55.766565;37.794287;;;
Энтузиастов ш., напротив д. 47, МГО № 388, из центра, г. Москва;55.770637;37.815188;;;
МКАД, 65 км 500м, Г-опора, внутренняя сторона, г. Москва;55.814527;37.390342;;;
МКАД, 72 км 650 м, Г-опора, внутренняя сторона, г. Москва;55.873396;37.418551;;;
ул.Полянка Б., д.3/9, г. Москва;55.742154;37.615957;;;
Варшавское ш., у д.8, к.5 по Каширскому шоссе, в центр, МГТ № 204, г. Москва;55.66755;37.623699;;;
МКАД, 48км, Г-опора, внешняя сторона, г. Москва;55.666252;37.428875;;;
ул.Тверская-Ямская 1-Я, д.1/2 по ул.Лесная, г. Москва;55.776615;37.585264;;;
ул.Косыгина,  к Мичуринскому пр-ту, МГТ № 154, г. Москва;55.713535;37.537204;;;
ул.Косыгина, д.67, с.2, к Мичуринскому пр-ту, г. Москва;55.718043;37.534842;;;
МКАД, 0км 650м, Г-опора, внутренняя сторона, г. Москва;55.773124;37.842907;;;
МКАД, 0км 800м, П-опора, внешняя сторона, г. Москва;55.771587;37.8435;;;
МКАД, 6км 600м, Г-опора, внешняя сторона, г. Москва;55.720864;37.839477;;;
Алабяно-Балтийский тоннель, Алабяна ул., д.7, г. Москва;55.801958;37.507503;;;
МКАД, 31км 420м, П-опора , внутренняя сторона, г. Москва;55.574849;37.619166;;;
Киевское ш., 62км 930м, МГО№017, из области, рп Киевский, Киевский п-е, г. Москва;55.433688;36.867171;;;
Варшавское ш., вл. 166В, стр.1, из центра, г. Москва;55.567629;37.597659;;;
Пролетарский просп., д.12/25, г. Москва;55.644758;37.655972;;;
МКАД,101 км 775м, П-опора, внутренняя сторона, г. Москва;55.83308;37.82174;;;
МКАД, 34 км 860 м, П-опора, внешняя сторона, г. Москва;55.582476;37.566263;;;
МКАД, 31 км 820 м, П-опора, внешняя сторона, г. Москва;55.575013;37.612032;;;
МКАД, 21 км 135 м, П-опора, внешняя сторона, г. Москва;55.60674;37.762561;;;
ул.Тверская, д.25, в центр, г. Москва;55.767843;37.599298;;;
Варшавское ш., д.128, к.1, г. Москва;55.622885;37.614848;;;
ул.Ельнинская, д. 25, к.3 по Ярцевской ул., к Ярцевской ул., г. Москва;55.741903;37.415138;;;
ул.Чаянова, д.27 по 2-ой Тверской-Ямской ул., к 1-ой Тверской-Ямской ул., г. Москва;55.77345;37.591033;;;
Северо-Восточная хорда, д. 34, к.3 по Окружному проезду, к ш. Энтузиастов, г. Москва;55.76759;37.747151;;;
Павелецкая наб., напротив д. 8, г. Москва;55.708824;37.647073;;;
Северо-Западный (Серебряноборский) тоннель, напротив д.15, с.6 по ул. Маршала Прошлякова, в центр, г. Москва;55.787361;37.385053;;;
"а/д ""Рассказовка-М-3""Украина"", напротив д.6 по б-ру Андрея Тарковского, д. Рассказовка, Внуковское п-е, г. Москва";55.625176;37.337603;;;
Северо-Восточная хорда, д. 2А, стр.1 по ул. Вернисажная, к Щелковскому ш., г. Москва;55.79453;37.74696;;;
Волоколамское ш., д.7, в центр, г. Москва;55.807818;37.501006;;;
Проектируемый проезд №7157, д.171, с.1 СНТ Филатов Луг, Сосенское п-е, г. Москва;55.593165;37.408095;;;
МКАД, 104км 500м, напротив МГО № 266, внешняя сторона, г. Москва;55.811864;37.839312;;;
Киевское ш., 63км 150м, МГО № 032, в область, рп Киевский, Киевский п-е, г. Москва;55.431871;36.863905;;;
ул.Черкизовская Б., д.16/2, г. Москва;55.798;37.727943;;;
МКАД, 7 км 330 м, П-опора, внешняя сторона, г. Москва;55.713349;37.838054;;;
МКАД, 13 км 670 м, Т-опора, внутренняя сторона, г. Москва;55.657392;37.838875;;;
Комсомольская пл., д.5А, в центр, г. Москва;55.77571;37.656316;;;
Липецкая ул. -МКАД (после съезда с внешнего кольца на Липецкую ул.),в центр, г. Москва;55.575305;37.688955;;;
Орликов пер., д. 11/1 по ул. Садовая-Спасская, г. Москва;55.770014;37.64643;;;
ул.Липецкая, вл. 23, в центр, г. Москва;55.578022;37.686002;;;
ул.Талдомская, д.4, г. Москва;55.872797;37.521075;;;
МКАД, 102км 650м, Г-опора, внутренняя сторона, г. Москва;55.827504;37.831656;;;
МКАД, 75 км, внешняя сторона, съезд на Ленинградское ш., г. Москва;55.882537;37.449186;;;
МКАД, 0км 500м, П-опора, внутренняя сторона, г. Москва;55.774396;37.842765;;;
МКАД 90 км, внутренняя сторона, 370 метров до съезда 90, г. Москва;55.895538;37.663284;;;
ул.Лобачевского, д.76А по проспекту Вернадского, г. Москва;55.670911;37.493816;;;
МКАД, 83км 575м, П-опора, внутренняя сторона, г. Москва;55.910878;37.576254;;;
Апакова проезд, д.1, к.1 по Калужской площади, г. Москва;55.727729;37.610832;;;
МКАД, 64км 940м, напротив МГО № 118, внутренняя сторона, г. Москва;55.80954;37.388856;;;
МКАД, 37км 840м, П-опора, внешняя сторона, г. Москва;55.593005;37.522135;;;
Энтузиастов ш., напротив д. 86 стр. 3, в центр, г. Москва;55.766626;37.793918;;;
ул.Академическая Б., д.28, г. Москва;55.82839;37.530606;;;
ул.Академическая Б., д.25, г. Москва;55.827361;37.529994;;;
Кутузовский просп., д.9, к.1, в центр, г. Москва;55.748812;37.561232;;;
Кутузовский просп., д.24, из центра, г. Москва;55.744675;37.546778;;;
ул.Косыгина, у д. 4, к.1, с.4 по проспекту Вернадского, г. Москва;55.706828;37.547108;;;
ул.Косыгина, напротив д. 4, к.1, с.4 по проспекту Вернадского, г. Москва;55.707233;37.547264;;;
Севастопольский просп., д.52, с.3 по ул. Обручева, из центра, г. Москва;55.647401;37.562171;;;
ул.Косыгина, д.4, г. Москва;55.707561;37.570475;;;
ул.Поляны, вл.59, с.1, г. Москва;55.550432;37.543246;;;
Севастопольский просп., д.46, к.1, из центра, г. Москва;55.653599;37.567781;;;
Ленинский просп., д.82, из центра, г. Москва;55.680709;37.534187;;;
Севастопольский просп., напротив д. 37, из центра, г. Москва;55.674115;37.589722;;;
Севастопольский просп., напротив вл.101, с.1, из центра, г. Москва;55.621767;37.542474;;;
ул.Народного Ополчения, д.32, П-опора, г. Москва;55.784948;37.482335;;;
ул.Пироговская Б., напротив д. 9А, стр.1, г. Москва;55.735682;37.579508;;;
ул.Большая Татарская, д.30, с.8, г. Москва;55.738518;37.634085;;;
ул.Обручева, д.35, к.1, г. Москва;55.650885;37.554899;;;
Косинское шоссе, П-опора, напротив МГО N107, от Новоухтомского шоссе, г. Москва;55.708214;37.861644;;;
Нахимовский просп., д.47, к.1, г. Москва;55.675985;37.567923;;;
ул.Лавочкина, д.54, к.2, г. Москва;55.864933;37.485629;;;
ул.Косыгина, д.17, к.8, г. Москва;55.705914;37.557011;;;
Варшавское ш., д.7, стр.19 по ул. Грина, г. Москва;55.565999;37.597612;;;
Новорязанское ш., Жулебинская эстакада, из центра, МГО № 091;55.676338;37.85592;;;
Варшавское ш., д.60, из центра, г. Москва;55.661758;37.619307;;;
Фрунзенская наб., напротив д.12, в центр, г. Москва;55.732067;37.595302;;;
Мичуринский просп., напротив д.29, к.3 по ул. Озерная, в центр, г. Москва;55.671646;37.45401;;;
Щелковское шоссе, д. 46, из центра, г. Москва;55.809952;37.793069;;;
Балаклавский просп., д.38, г. Москва;55.646768;37.575924;;;
ул.Беломорская, д.1Б, с.1, г. Москва;55.863009;37.469117;;;
Фрунзенская наб., д.22, с.2, г. Москва;55.725543;37.589882;;;
Вернадского просп., напротив д. 101, к.1, из центра, г. Москва;55.667343;37.487306;;;
Вернадского просп., напротив д.119, из центра, г. Москва;55.657879;37.480723;;;
Мичуринский просп., д.13 по ул. Олимпийская деревня, в центр, г. Москва;55.674652;37.460486;;;
Щелковское шоссе, д. 68, из центра, г. Москва;55.810369;37.807374;;;
Рязанский просп., д.51, в центр, г. Москва;55.724267;37.766101;;;
Мира просп., д.81, в центр, г. Москва;55.801046;37.635657;;;
Воробьевское ш., д.42 по ул. Косыгина, в центр, г. Москва;55.727681;37.538678;;;
Ленинский просп., д.16, из центра, г. Москва;55.718599;37.596091;;;
ул.Садовническая, д.79, г. Москва;55.73508;37.643859;;;
ул.Голубинская, напротив вл. 23, г. Москва;55.597644;37.532403;;;
Щелковское ш., вл.12, к.3, из центра, г. Москва;55.80637;37.76807;;;
ул.Барышиха, напротив д.6, г. Москва;55.839854;37.366937;;;
Коломенский проезд, напротив д. 10А, г. Москва;55.666083;37.650196;;;
ул.Полярная, д.16, к.1, г. Москва;55.87626;37.63697;;;
ул.Молодогвардейская, у д. 21, к.1, г. Москва;55.733752;37.421099;;;
ул.Енисейская, д.22, к.2, из центра, г. Москва;55.86891;37.66432;;;
Мира просп., д.74, с.1, из центра, г. Москва;55.789544;37.63504;;;
ул.Молодогвардейская, д.58, г. Москва;55.734046;37.393535;;;
ул.Академическая Б., вл. 43, г. Москва;55.83406;37.534;;;
ул.Богородский Вал, пересечение с наб.Ганнушкина, г. Москва;55.801226;37.69895;;;
Ленинский просп., напротив д. 35, из центра, г. Москва;55.711962;37.586925;;;
Косинское шоссе, П-опора, напротив МГО N108, к Новоухтомскому шоссе, г. Москва;55.708368;37.861428;;;
Щелковское ш., д.17, в центр, г. Москва;55.806477;37.767548;;;
Солянский проезд, д. 4-2/5с4 по Славянской пл., г. Москва;55.753766;37.635204;;;
ул.Вильгельма Пика, мост через р. Яуза, г. Москва;55.840461;37.636372;;;
Берниковская наб., напротив д. 52/16, с.2 по ул. Земляной Вал, г. Москва;55.74964;37.654131;;;
ул.Енисейская, д.25, г. Москва;55.871652;37.665337;;;
ул.Енисейская, д.1, с.30, г. Москва;55.852565;37.668237;;;
ул.Енисейская, д.12, с.2, из центра, г. Москва;55.863035;37.661322;;;
Дмитровское ш., напротив д.60, стр.8, в центр, г. Москва;55.852161;37.564513;;;
ул.Енисейская, д.7А, с.3, в центр, г. Москва;55.862676;37.660749;;;
ул.Плещеева, вл.4, г. Москва;55.883648;37.60466;;;
ул.Ижорская, напротив д.3 стр.6, г. Москва;55.8839;37.50351;;;
Зеленый просп., д.97, г. Москва;55.750172;37.82698;;;
ул.Фрязевская, пересечение с съездом с Новогиреевского путепровода, из центра, г. Москва;55.744229;37.81591;;;
ул.Свободы, д.29, к.1, г. Москва;55.836398;37.453927;;;
Митинский 1-Й пер., напротив д. 17, г. Москва;55.84733;37.3824;;;
ул.Тверская, д.9, г. Москва;55.759245;37.611743;;;
Мира просп., д.186Г, (дублёр), из центра, г. Москва;55.829966;37.651273;;;
Каширское ш., д.108, к.1, г. Москва;55.609178;37.718135;;;
Митинский 1-Й пер., д.19, с.4, г. Москва;55.843692;37.376333;;;
ул.Владимирская 3-Я, д.6, г. Москва;55.76225;37.78543;;;
Варшавское ш., у вл.172А с.1, из центра, г. Москва;55.55497;37.587192;;;
ул.Дубравная, напротив д. 34/29, г. Москва;55.846639;37.360265;;;
Севастопольский просп., д.20А, из центра, г. Москва;55.682021;37.597926;;;
Щелковское ш., д.87, к.1, в центр, г. Москва;55.811816;37.820098;;;
ул.Фестивальная, д.48, г. Москва;55.864085;37.509583;;;
Глебовский мост, пересечение с Русаковской наб., г. Москва;55.801161;37.697835;;;
ул.Кравченко, д.12А, г. Москва;55.67756;37.516043;;;
Батайский проезд, д.47, г. Москва;55.643179;37.736684;;;
Волгоградский просп., д.119/22, пересечение с Жигулевской улицей, г. Москва;55.70571;37.764073;;;
ул.Металлургов, напротив д.48, г. Москва;55.760944;37.800732;;;
ул.Стромынка, д.22, Матросский мост, из центра, г. Москва;55.794802;37.703084;;;
Ленинский просп., в направлении центра, в районе д.4 к.3 по ул. Обручева, г. Москва;55.660706;37.505266;;;
Вернадского просп., (дублер), вл.10, из центра, г. Москва;55.686945;37.524097;;;
ул.Подольских Курсантов, вл.13А с.1, г. Москва;55.604708;37.632175;;;
Коломенский проезд, напротив д.10, г. Москва;55.666222;37.650217;;;
Дежнева проезд, д.10, г. Москва;55.87148;37.64229;;;
Батайский проезд, д.31, г. Москва;55.642928;37.7216;;;
ул.Подольских Курсантов, д.18, к.2, г. Москва;55.604426;37.632263;;;
ул.Салтыковская, д.102, с.2 по Большой Косинской ул., г. Москва;55.723537;37.859213;;;
Олимпийский просп., д.10, из ЦЕНТРА, г. Москва;55.778232;37.621576;;;
Рублевское ш., д.20, к.1, из центра, г. Москва;55.741749;37.428908;;;
Олимпийский просп., д.16, с.2, из центра, г. Москва;55.78272;37.624039;;;
Богородское ш., напротив д.2 по Большой Тихоновской ул., г. Москва;55.802294;37.685135;;;
ул.Люблинская, д.161, в центр, г. Москва;55.652717;37.743086;;;
Коломенский проезд, д.4, с.2, г. Москва;55.664846;37.642577;;;
ул.Дмитрия Ульянова, д.28, г. Москва;55.68561;37.57874;;;
ул.Таллинская, д.19, г. Москва;55.799665;37.405422;;;
ул.Новогиреевская, д.44/28, г. Москва;55.753039;37.798398;;;
ул.Люблинская, д.157, в центр, г. Москва;55.654505;37.742402;;;
Библиотечный проезд, д.2, с.1, из центра, г. Москва;55.882461;37.483383;;;
Богородское ш., д.17, стр.1 по ул. 6-й Лучевой просек, г. Москва;55.808809;37.68392;;;
Садовое кольцо, внешняя сторона, Садово-Черногрязская ул., д.3Б, стр1, г. Москва;55.766844;37.652526;;;
ул.Профсоюзная, напротив д.156, к.1, г. Москва;55.616067;37.501306;;;
Ленинский просп., д.45, в центр, г. Москва;55.703332;37.572657;;;
Севастопольский просп., напротив д.66, с.8, в центр, г. Москва;55.627869;37.540956;;;
Варшавское шоссе (дублёр), д.1, к.6 по ул. Газопровод, 2-е пересечение с ул. Россошанская, в центр, г. Москва;55.595492;37.602918;;;
Ленинский просп., д.144, к.2, из центра, г. Москва;55.65776;37.49965;;;
Новорязанское ш., Жулебинская эстакада, в центр, МГО № 090;55.676185;37.856638;;;
ул.Генерала Белобородова, д.32, г. Москва;55.82854;37.35373;;;
Олимпийский просп., д.22, из центра, г. Москва;55.78719;37.622513;;;
Богородское ш., напротив д.2А, стр.10 по ул. Короленко, в центр, г. Москва;55.798005;37.684174;;;
Ленинский просп., д.68, из центра, г. Москва;55.689156;37.546786;;;
ул.Фрязевская, пересечение с съездом с Новогиреевского путепровода, в центр, г. Москва;55.744238;37.815282;;;
ул.Народного Ополчения, д.37, к.1, П-опора, г. Москва;55.79038;37.488091;;;
ул.Ботаническая, напротив д.33, г. Москва;55.841166;37.588033;;;
ул.Краснодонская, г. Москва;55.689315;37.754515;;;
ул.Барышиха, д.14, г. Москва;55.840984;37.356916;;;
Волгоградский просп., д.187/16, к.2, в центр, г. Москва;55.69311;37.815789;;;
Олимпийский просп., напротив д.10, г. Москва;55.778088;37.621093;;;
ул.Профсоюзная, д.86, с.1, из центра, г. Москва;55.651829;37.534648;;;
ул.Стромынка, д.27, Матросский мост, в центр, г. Москва;55.795099;37.703394;;;
Варшавское ш., д.141, в центр, г. Москва;55.588541;37.599319;;;
ул.Верейская, напротив вл.11, г. Москва;55.709362;37.449248;;;
Бережковская наб., д.16, г. Москва;55.735989;37.562689;;;
Варшавское ш., у д.6А по ул. 1-я Мелитопольская, из центра, г. Москва;55.542122;37.583905;;;
Алтуфьевское ш., д.12, из центра, г. Москва;55.854578;37.584823;;;
Варшавское ш., у д.4, с.4 по 1-й Горловской ул., из центра, г. Москва;55.546771;37.585434;;;
ул.Верхние Поля, д.9, к.2, г. Москва;55.66527;37.74859;;;
Щелковское ш., д.60, дублёр, г. Москва;55.810219;37.803292;;;
Университетский просп., д.5, г. Москва;55.696092;37.553214;;;
ул.Саларьевская, вл.7, с.1, д. Саларьево, Московский п-е, г. Москва;55.622897;37.42657;;;
Андропова просп., д.37, в центр, г. Москва;55.6729;37.6633;;;
Щелковское ш., д.26Б, дублёр, из центра, г. Москва;55.809481;37.781639;;;
ул.Лобачевского, д.13, с.1, г. Москва;55.671189;37.492995;;;
ул.Салтыковская, пересечение с ул.Святоозёрская, г. Москва;55.713444;37.877341;;;
Мира просп., д.184, к.1, (дублер), г. Москва;55.827926;37.649282;;;
ул.Первомайская, напротив вл.75 по Измайловскому ш., из центра, г. Москва;55.789045;37.767384;;;
Мира просп., д.105, с.1, в центр, г. Москва;55.815971;37.638256;;;
ул.Липецкая, у д.2 по ул. 8-я Радиальная, г. Москва;55.61076;37.66392;;;
Дежнева проезд, д.10, стр.1 по Юрловскому пр-ду, г. Москва;55.869604;37.624479;;;
ул.Академическая Б., д.14, г. Москва;55.82179;37.526655;;;
ул.Профсоюзная, д.127Б, на эстакаде, в центр, г. Москва;55.620812;37.507249;;;
ул.Митинская, напротив д.20, г. Москва;55.842345;37.370326;;;
Ярославское ш., д.36, из центра, г. Москва;55.863048;37.696888;;;
Бережковская наб., напротив д.16, г. Москва;55.73579;37.56276;;;
Алтуфьевское ш., напротив д.14, г. Москва;55.855672;37.58438;;;
Алтуфьевское ш., д.79Ж, в центр, г. Москва;55.884391;37.586412;;;
Волоколамское ш., д.104, из центра, г. Москва;55.826054;37.428112;;;
ул.Хачатуряна, напротив д.12, к.1, г. Москва;55.858278;37.596777;;;
Новоданиловская наб., напротив д.2, к.1, г. Москва;55.702763;37.626527;;;
наб.Ганнушкина, пересечение с ул.Богородский Вал, г. Москва;55.801604;37.699343;;;
ул.Грина, напротив д.2, г. Москва;55.561911;37.585534;;;
ул.Вильгельма Пика, у д.8, г. Москва;55.840106;37.636423;;;
Новокуркинское ш., д.14, из центра, г. Москва;55.89638;37.400877;;;
Варшавское ш., д.143А, г. Москва;55.583984;37.597807;;;
ул.Гризодубовой, напротив д.2 по проезду Берёзовой Рощи, г. Москва;55.784751;37.520456;;;
Машкинское ш., г. Москва;55.914061;37.393603;;;
ул.Обручева, напротив д.30/1 с.2, г. Москва;55.657291;37.526659;;;
Новокуркинское ш., д.20, г. Москва;55.900043;37.398697;;;
Зеленый просп., д.57/14, г. Москва;55.753782;37.802862;;;
Рязанский просп., д.24, к.3, г. Москва;55.720405;37.776716;;;
ул.Верхние Поля, напротив д.23, в центр, г. Москва;55.657135;37.825241;;;
Новоясеневский просп., вл.3А, с.5, г. Москва;55.615474;37.513043;;;
ул.Шипиловская, напротив д.28, к ул. Домодедовская, г. Москва;55.619417;37.713217;;;
ул.Хачатуряна, д.20, г. Москва;55.862251;37.60399;;;
Новоясеневский просп., д.4, с.1, г. Москва;55.61464;37.51381;;;
Щелковское ш., у д.84, из центра, г. Москва;55.811373;37.818732;;;
Зеленый просп., д.38/19, г. Москва;55.753519;37.803502;;;
ул.Марксистская, д.5, г. Москва;55.736565;37.664214;;;
ул.Хачатуряна, д.13, г. Москва;55.86164;37.60302;;;
Алтуфьевское ш., напротив д.40, в центр, г. Москва;55.871411;37.585406;;;
Мичуринский просп., напротив д.6 с.15, г. Москва;55.71387;37.532737;;;
ул.Кулакова, д.23, г. Москва;55.80347;37.3928;;;
Бескудниковский бул., д.11, к.1, г. Москва;55.862529;37.561577;;;
ул.Поляны, перед вл.4 по Куликовской ул., в центр, г. Москва;55.576684;37.567099;;;
ул.Первомайская, вл.75 по Измайловскому ш., в центр, г. Москва;55.789028;37.766526;;;
ул.Широкая, д.17, к.1, г. Москва;55.887623;37.667523;;;
Нахимовский просп., вл.10, с.1, г. Москва;55.666202;37.597354;;;
ул.Широкая, д.59А по ул. Корнейчука, г. Москва;55.890126;37.625089;;;
Аминьевское ш., д. 34, к Рублевскому шоссе, г. Москва;55.720628;37.450751;;;
Аминьевское ш., напротив вл. 17, к Рублевскому шоссе, г. Москва;55.708952;37.455254;;;
ул.Широкая, д.20, г. Москва;55.887419;37.66794;;;
Аминьевское ш., вл. 4Б, к Рублевскому шоссе, г. Москва;55.697809;37.462445;;;
ул.Народного Ополчения, д.31, П-опора, г. Москва;55.7845;37.481788;;;
Нахимовский просп., д.21, с.1, г. Москва;55.666474;37.595935;;;
Осташковская ул., напротив д. 26, в центр, г. Москва;55.889976;37.674176;;;
Союзный просп., д.24 по Свободному проспекту, г. Москва;55.74959;37.814873;;;
Хорошевское ш., д.66, г. Москва;55.777547;37.52722;;;
Хорошевское ш., д.17, в центр, г. Москва;55.776499;37.531888;;;
Можайское ш., д.29, дублер, г. Москва;55.719769;37.424036;;;
ул.Нижегородская, д.50, из центра, г. Москва;55.73599;37.701163;;;
Новодачное ш., у д.161Б по Дмитровскому ш., из центра, г. Москва;55.90514;37.538842;;;
Новодачное ш., напротив д.161Б по Дмитровскому ш., в центр, г. Москва;55.904344;37.53912;;;
Бережковская наб., напротив д.8, в центр, г. Москва;55.739113;37.566891;;;
Дербеневская наб., напротив д.3, г. Москва;55.72691;37.65499;;;
Аминьевское ш., вл. 27, стр.1, от Рублевского шоссе, г. Москва;55.716602;37.451981;;;
ул.Шереметьевская, напротив д.23/2 по 9-му проезду Марьиной рощи, из центра, г. Москва;55.80151;37.61594;;;
Каширское ш., дублер, первое пересечение с ул.Ясеневая, в центр, г. Москва;55.601359;37.72288;;;
Можайское ш., напротив д.4, к.1, в центр, г. Москва;55.722684;37.446708;;;
ул.Шереметьевская, вл.3, стр.1 по 8-му проезду Марьиной Рощи, г. Москва;55.80089;37.61566;;;
Энтузиастов ш., д.17, г. Москва;55.752313;37.720634;;;
Проектируемый проезд №5997, у д.30 к.1 по ул. Перекопская, г. Москва;55.663426;37.569412;;;
ул.Бутырская, д.67, с.1, в центр, г. Москва;55.80206;37.583026;;;
Новорязанское ш., дублер, пересечение с ул. Маршала Полубоярова из центра, г. Москва;55.675644;37.857225;;;
Рязанский просп., д.45, к.1, дублёр, г. Москва;55.726615;37.760112;;;
ул.Реутовская, д.26/21, г. Москва;55.732468;37.830014;;;
Алтуфьевское ш., д.40, из центра, г. Москва;55.871541;37.585863;;;
ул.Лескова, д.15, с.2, г. Москва;55.896726;37.610183;;;
ул.Академика Семенова, напротив д.5, г. Москва;55.543635;37.509203;;;
ул.Бартеневская, напротив д.55, г. Москва;55.547799;37.518709;;;
Воробьевское ш., напротив д.42 по ул. Косыгина, из центра, г. Москва;55.727944;37.53889;;;
Щелковское ш., д.92, к.2, (дублер), г. Москва;55.812008;37.824579;;;
Дмитровское ш., д.29, к.1, в центр, г. Москва;55.827793;37.572661;;;
Ярославское ш., д.59, (дублёр), г. Москва;55.863892;37.697449;;;
